family,quarter,mean,sem,count,construct,arm
Divergent,Q4,0.30770578390730974,0.02925622536324061,65,com,Persona
Rational,Q1,0.025769763617671793,0.01296297403935267,22,com,Persona
Rational,Q2,0.16476234337512433,0.04884003764922012,20,com,Persona
Rational,Q3,0.20307491792790638,0.05617385767330186,18,com,Persona
Rational,Q4,0.4117646152559254,0.07069125628418592,20,com,Persona
GPT,Q1,0.057016519353037184,0.007954384715526768,261,com,GPT
GPT,Q2,0.2045314587332274,0.012910227778505496,205,com,GPT
GPT,Q3,0.2390074048629005,0.013186799108034388,207,com,GPT
GPT,Q4,0.2606389787185324,0.012644957905678472,205,com,GPT
BoundedRational,Q1,0.022204928755149646,0.021294229444852743,22,ref,Persona
BoundedRational,Q2,0.1031628368933502,0.056904054269864064,20,ref,Persona
BoundedRational,Q3,0.10378937926980203,0.05914970925968561,17,ref,Persona
BoundedRational,Q4,0.03103722838251747,0.018317712155127695,20,ref,Persona
Convergent,Q1,0.01801317964851513,0.00615113773778751,109,ref,Persona
Convergent,Q2,0.05979887377130198,0.010812265510663279,91,ref,Persona
Convergent,Q3,0.0786155500860627,0.01583762228555452,85,ref,Persona
Convergent,Q4,0.07138401034618432,0.015548948957559542,91,ref,Persona
Divergent,Q1,0.031194803503820295,0.01021285439076799,93,ref,Persona
Divergent,Q2,0.233890105443042,0.033456954268387254,65,ref,Persona
Divergent,Q3,0.2436098742501619,0.03224879232560762,70,ref,Persona
Divergent,Q4,0.18450417591662574,0.030180858499796473,65,ref,Persona
Rational,Q1,0.06608967808609117,0.04612144454004013,22,ref,Persona
Rational,Q2,0.15405715510389154,0.06495532236805066,20,ref,Persona
Rational,Q3,0.04391460683300942,0.01850348302910599,18,ref,Persona
Rational,Q4,0.04783338243117195,0.02640283332703386,20,ref,Persona
GPT,Q1,0.020007735221199134,0.004217060417332619,261,ref,GPT
GPT,Q2,0.05544987266142039,0.006873224187927842,205,ref,GPT
GPT,Q3,0.05566294056005714,0.007241203338835338,207,ref,GPT
GPT,Q4,0.07340067222592316,0.00950562480956321,205,ref,GPT
BoundedRational,Q1,0.10396555303248407,0.054069867329234605,22,prop,Persona
BoundedRational,Q2,1.181214185346461,0.13462698117012473,20,prop,Persona
BoundedRational,Q3,1.357846261124129,0.1323798852208099,17,prop,Persona
BoundedRational,Q4,1.163059355791573,0.16885835498274754,20,prop,Persona
Convergent,Q1,0.20180923053218447,0.03857347105511235,109,prop,Persona
Convergent,Q2,0.9223787697228011,0.06034878415931716,91,prop,Persona
Convergent,Q3,0.958027627228612,0.05740740086886886,85,prop,Persona
Convergent,Q4,0.82939077337714,0.05958461220703646,91,prop,Persona
Divergent,Q1,0.19143539696719294,0.04570532844263587,93,prop,Persona
Divergent,Q2,1.0975548128097907,0.059913684649432045,65,prop,Persona
Divergent,Q3,1.1032306714755964,0.07022709494909501,70,prop,Persona
Divergent,Q4,1.0000741744680355,0.06213894621729068,65,prop,Persona
Rational,Q1,0.13764961452869692,0.07629209883293482,22,prop,Persona
Rational,Q2,0.7423868567989843,0.13508092072453323,20,prop,Persona
Rational,Q3,1.002483932762207,0.1643877864094294,18,prop,Persona
Rational,Q4,0.749967947460516,0.13884187534344114,20,prop,Persona
GPT,Q1,0.23108870712924665,0.02658391193938799,261,prop,GPT
GPT,Q2,0.8180984241058311,0.03362366995264721,205,prop,GPT
GPT,Q3,0.8447690525973033,0.03369519877060724,207,prop,GPT
GPT,Q4,0.7484214507270404,0.032148032653133096,205,prop,GPT
