family,user_construct,label,orig_metric,n,rho,p
Rational,exp,Expansion,n_ideas,7,-0.4182509562856521,0.3503951126391441
Rational,exp,Expansion,orig_same,7,0.42857142857142866,0.3373683110858243
Rational,exp,Expansion,orig_all,7,0.42857142857142866,0.3373683110858243
Rational,exp,Expansion,orig_cross,7,0.0,1.0
Rational,con,Contraction,n_ideas,7,0.0181848241863327,0.9691335878067214
Rational,con,Contraction,orig_same,7,0.0,1.0
Rational,con,Contraction,orig_all,7,0.0,1.0
Rational,con,Contraction,orig_cross,7,0.21428571428571433,0.6445115810207203
Rational,cri,Critique,n_ideas,7,0.16366341767699433,0.7258624740766529
Rational,cri,Critique,orig_same,7,-0.21428571428571433,0.6445115810207203
Rational,cri,Critique,orig_all,7,-0.21428571428571433,0.6445115810207203
Rational,cri,Critique,orig_cross,7,-0.5357142857142858,0.21521745567801298
Rational,cer,Certainty,n_ideas,7,0.3091420111676559,0.4998985145994543
Rational,cer,Certainty,orig_same,7,-0.39285714285714296,0.3833168704269727
Rational,cer,Certainty,orig_all,7,-0.39285714285714296,0.3833168704269727
Rational,cer,Certainty,orig_cross,7,-0.3571428571428572,0.431611352038328
Rational,com,Commitment,n_ideas,7,0.8365019125713042,0.018971259581891147
Rational,com,Commitment,orig_same,7,-0.7857142857142859,0.03623846267982715
Rational,com,Commitment,orig_all,7,-0.7857142857142859,0.03623846267982715
Rational,com,Commitment,orig_cross,7,-0.8928571428571429,0.006807187408935393
Rational,ref,Reframing,n_ideas,7,0.5637295497763136,0.18749633154780124
Rational,ref,Reframing,orig_same,7,-0.5357142857142858,0.21521745567801298
Rational,ref,Reframing,orig_all,7,-0.5357142857142858,0.21521745567801298
Rational,ref,Reframing,orig_cross,7,-0.21428571428571433,0.6445115810207203
Rational,prop,Propose-new-idea,n_ideas,7,0.32732683535398865,0.4735969360680639
Rational,prop,Propose-new-idea,orig_same,7,-0.3571428571428572,0.431611352038328
Rational,prop,Propose-new-idea,orig_all,7,-0.3571428571428572,0.431611352038328
Rational,prop,Propose-new-idea,orig_cross,7,-0.1785714285714286,0.7016579425162727
BoundedRational,exp,Expansion,n_ideas,8,0.16868694244915797,0.6896608067073912
BoundedRational,exp,Expansion,orig_same,8,0.09523809523809526,0.8225054302036114
BoundedRational,exp,Expansion,orig_all,8,0.07142857142857144,0.8665262706759088
BoundedRational,exp,Expansion,orig_cross,8,-0.09523809523809526,0.8225054302036114
BoundedRational,con,Contraction,n_ideas,8,-0.4578645580762859,0.25394134134526347
BoundedRational,con,Contraction,orig_same,8,0.09523809523809526,0.8225054302036114
BoundedRational,con,Contraction,orig_all,8,0.2142857142857143,0.6103444156452669
BoundedRational,con,Contraction,orig_cross,8,0.6190476190476191,0.10173303745426478
BoundedRational,cri,Critique,n_ideas,8,-0.20483414440254896,0.6265435481779081
BoundedRational,cri,Critique,orig_same,8,-0.3571428571428572,0.38512064355625614
BoundedRational,cri,Critique,orig_all,8,-0.3333333333333334,0.4197530864197532
BoundedRational,cri,Critique,orig_cross,8,-0.07142857142857144,0.8665262706759088
BoundedRational,cer,Certainty,n_ideas,8,0.39761922148730094,0.32931690299077676
BoundedRational,cer,Certainty,orig_same,8,-0.2380952380952381,0.5701563208157683
BoundedRational,cer,Certainty,orig_all,8,-0.28571428571428575,0.49272624501695717
BoundedRational,cer,Certainty,orig_cross,8,0.0,1.0
BoundedRational,com,Commitment,n_ideas,8,0.39761922148730094,0.32931690299077676
BoundedRational,com,Commitment,orig_same,8,0.11904761904761905,0.7788857260523796
BoundedRational,com,Commitment,orig_all,8,0.023809523809523815,0.9553740118158806
BoundedRational,com,Commitment,orig_cross,8,-0.07142857142857144,0.8665262706759088
BoundedRational,ref,Reframing,n_ideas,8,0.277128548309331,0.5063754253085383
BoundedRational,ref,Reframing,orig_same,8,0.0,1.0
BoundedRational,ref,Reframing,orig_all,8,-0.04761904761904763,0.9108491685195836
BoundedRational,ref,Reframing,orig_cross,8,-0.2380952380952381,0.5701563208157683
BoundedRational,prop,Propose-new-idea,n_ideas,8,0.012049067317796997,0.9774101852887366
BoundedRational,prop,Propose-new-idea,orig_same,8,-0.3333333333333334,0.4197530864197532
BoundedRational,prop,Propose-new-idea,orig_all,8,-0.261904761904762,0.530922861565801
BoundedRational,prop,Propose-new-idea,orig_cross,8,0.04761904761904763,0.9108491685195836
ALL,exp,Expansion,n_ideas,87,0.09742581867735205,0.369333745189078
ALL,exp,Expansion,orig_same,87,-0.0895421739447401,0.40950084452701924
ALL,exp,Expansion,orig_all,87,-0.05762921921702995,0.5959761395432861
ALL,exp,Expansion,orig_cross,87,-0.0037180141430341903,0.9727353321189582
ALL,con,Contraction,n_ideas,87,0.03145438495955291,0.7724167975898302
ALL,con,Contraction,orig_same,87,-0.047951447109426254,0.6591796074863886
ALL,con,Contraction,orig_all,87,-0.0041372020121017705,0.9696627561517664
ALL,con,Contraction,orig_cross,87,-0.0032806007144419334,0.9759419214504554
ALL,cri,Critique,n_ideas,87,0.12367459489798481,0.2537605773571657
ALL,cri,Critique,orig_same,87,-0.058504046074214465,0.5903988742487141
ALL,cri,Critique,orig_all,87,-0.07299336589633301,0.5016559799710402
ALL,cri,Critique,orig_cross,87,-0.15333163228111102,0.15622105545498619
ALL,cer,Certainty,n_ideas,87,0.2040028399964454,0.0580562210856374
ALL,cer,Certainty,orig_same,87,-0.28293358606109204,0.007922624001389291
ALL,cer,Certainty,orig_all,87,-0.26530947000072896,0.013008777001327474
ALL,cer,Certainty,orig_cross,87,-0.2537362397025588,0.017720248793990975
ALL,com,Commitment,n_ideas,87,0.15839398180509365,0.14283919664080846
ALL,com,Commitment,orig_same,87,-0.039039148501859,0.7195927491360947
ALL,com,Commitment,orig_all,87,-0.059378872931398985,0.5848453319203487
ALL,com,Commitment,orig_cross,87,-0.07610993657505286,0.4835179707011551
ALL,ref,Reframing,n_ideas,87,0.13260506501369412,0.2208075838103628
ALL,ref,Reframing,orig_same,87,-0.1559196617336152,0.14926764771404588
ALL,ref,Reframing,orig_all,87,-0.13601735073266746,0.20904973021611145
ALL,ref,Reframing,orig_cross,87,-0.07574542538455929,0.48562115929284944
ALL,prop,Propose-new-idea,n_ideas,87,0.28675914288125737,0.007084878923237679
ALL,prop,Propose-new-idea,orig_same,87,-0.19342786323540131,0.07264196807933837
ALL,prop,Propose-new-idea,orig_all,87,-0.15827075891229858,0.14315431744814514
ALL,prop,Propose-new-idea,orig_cross,87,0.007344900488444995,0.9461687924842714
