model,side,cell,construct,mean_persona,mean_gpt,dz,n
enriched,assistant,BoundedRational,exp,1.1705277326730703,0.3965783607547297,3.0944603931890673,9
enriched,assistant,BoundedRational,con,1.3132824987847163,1.4543863761400821,-0.7852700599025476,9
enriched,assistant,BoundedRational,cri,0.08061974263429549,0.07330194162093417,0.08960351114628204,9
enriched,assistant,BoundedRational,cer,1.9247613181584784,2.20020902853543,-3.790893204195638,9
enriched,assistant,BoundedRational,com,0.18464350524272594,0.5502921911353669,-3.919845163490248,9
enriched,assistant,BoundedRational,ref,0.2412349575882676,0.06721293124846253,1.5282936159332432,9
enriched,assistant,BoundedRational,prop,1.1827846760322493,1.501389143829636,-2.532007511827577,9
enriched,user,pooled,exp,0.3675256846514016,0.27754035668023513,0.4650540807314724,97
enriched,user,pooled,con,0.5526244245346972,0.490142243781415,0.3659516998545348,97
enriched,user,pooled,cri,0.09782405260096913,0.09738562847041828,0.003927984410282976,97
enriched,user,pooled,cer,1.8122171032452858,1.7350625909841004,0.4875112803599918,97
enriched,user,pooled,com,0.20391237808989363,0.17438919736570052,0.28153038644094325,97
enriched,user,pooled,ref,0.10059002041693889,0.049762967718421154,0.4914264717201928,97
enriched,user,pooled,prop,0.7451183154741045,0.634522994261589,0.4274304646139501,97
enriched,user,Divergent,exp,0.4284605704193602,0.2843105380104368,0.6307363310680998,38
enriched,user,Divergent,con,0.5762448529662485,0.49912027852232693,0.39243023714509273,38
enriched,user,Divergent,cri,0.09091132464906794,0.0896211306610819,0.011072489073354185,38
enriched,user,Divergent,cer,1.7908084267844488,1.7170790837986463,0.46529105631725415,38
enriched,user,Divergent,com,0.19633400630306683,0.17437856446233596,0.2423872868221021,38
enriched,user,Divergent,ref,0.16624739528744076,0.06120228504037875,0.8204632857007433,38
enriched,user,Divergent,prop,0.770965664860608,0.6374314212113603,0.5386897162328026,38
enriched,user,Convergent,exp,0.31081672325702747,0.26504163349338183,0.3538890082432239,41
enriched,user,Convergent,con,0.5290136449766726,0.5018613994748882,0.19199230793728336,41
enriched,user,Convergent,cri,0.08797449122413571,0.09765017606982437,-0.09851018583230291,41
enriched,user,Convergent,cer,1.8259710165256435,1.7740389094513942,0.3455301508975539,41
enriched,user,Convergent,com,0.22296966956917963,0.174945890697585,0.4056260938624986,41
enriched,user,Convergent,ref,0.05337020006918626,0.040332418179612875,0.20851348799175543,41
enriched,user,Convergent,prop,0.6994714914429938,0.6677896933496826,0.1528074736177366,41
enriched,user,Rational,exp,0.2870288426350396,0.3355909630523509,-0.3349768008345596,9
enriched,user,Rational,con,0.620242850269448,0.40667353975005155,1.3297546428003766,9
enriched,user,Rational,cri,0.21093099250910896,0.11179946260197896,0.7318001290235485,9
enriched,user,Rational,cer,1.8484952856720187,1.6645100981657466,1.334909426176327,9
enriched,user,Rational,com,0.1633508150166516,0.18225311593785717,-0.16533198064605834,9
enriched,user,Rational,ref,0.06619136691094302,0.04465356065421153,0.27273468183982696,9
enriched,user,Rational,prop,0.6534661377142827,0.5686440841023953,0.23548752526804986,9
enriched,user,BoundedRational,exp,0.4490827219996423,0.24784316809848875,0.9641511933547539,9
enriched,user,BoundedRational,con,0.49283551896439803,0.48231642519199486,0.10936193912885203,9
enriched,user,BoundedRational,cri,0.05877441031754222,0.11455006824765013,-0.7830315005543941,9
enriched,user,BoundedRational,cer,1.8036743942649034,1.7039866633455922,0.5271294116112961,9
enriched,user,BoundedRational,com,0.18965496085743475,0.16403412587360927,0.3259390334028374,9
enriched,user,BoundedRational,ref,0.07288116160946644,0.04953442732226981,0.38522604923946246,9
enriched,user,BoundedRational,prop,0.9355838830770833,0.5365735836759877,1.8650421247830635,9
condition_blind,assistant,pooled,exp,1.1368598002418056,0.4962494677459621,1.619775285852203,97
condition_blind,assistant,pooled,con,1.3131380517951547,1.2844205175799912,0.0959695714233122,97
condition_blind,assistant,pooled,cri,0.08250721855248469,0.06361287764235675,0.1505468553226908,97
condition_blind,assistant,pooled,cer,1.9782949247848398,2.257871368897192,-1.358973518820513,97
condition_blind,assistant,pooled,com,0.16456379801684126,0.5027926588423801,-2.2657860704413437,97
condition_blind,assistant,pooled,ref,0.4233053651629383,0.12157221303270284,1.0693767998341541,97
condition_blind,assistant,pooled,prop,1.0915360069185756,1.6101981385709325,-1.392243156144806,97
condition_blind,assistant,Divergent,exp,1.4300795500049834,0.46837550967670766,3.5050731246840767,38
condition_blind,assistant,Divergent,con,1.1836549009371269,1.2711992812784587,-0.3944764296856686,38
condition_blind,assistant,Divergent,cri,0.05540756853781109,0.05517933690129039,0.0030059858504541278,38
condition_blind,assistant,Divergent,cer,1.9261721200722761,2.3147917343339564,-2.7395423056681785,38
condition_blind,assistant,Divergent,com,0.1376847026534361,0.5395895182624898,-4.71477716539685,38
condition_blind,assistant,Divergent,ref,0.6609424398943432,0.09867381377737798,2.4631350586637626,38
condition_blind,assistant,Divergent,prop,1.1553845857244749,1.7207106020218659,-1.7074700450268223,38
condition_blind,assistant,Convergent,exp,0.88947595282938,0.5499000338917049,1.208823828508275,41
condition_blind,assistant,Convergent,con,1.3700213062180473,1.2821248736788573,0.2931871076436337,41
condition_blind,assistant,Convergent,cri,0.06264622426465688,0.07218820651682845,-0.11525287251021066,41
condition_blind,assistant,Convergent,cer,2.019353764202108,2.197414084629194,-0.7631086836531908,41
condition_blind,assistant,Convergent,com,0.19541721076849283,0.4533749185753048,-1.495254692118665,41
condition_blind,assistant,Convergent,ref,0.2577729290381693,0.151478107087565,0.700297331639448,41
condition_blind,assistant,Convergent,prop,1.0594942951950208,1.4686529768863983,-1.083820305594003,41
condition_blind,assistant,Rational,exp,0.8860638880307404,0.4022360111099333,2.507133542226887,9
condition_blind,assistant,Rational,con,1.6511202055798193,1.264848585747452,1.1479704868810703,9
condition_blind,assistant,Rational,cri,0.2959024214838988,0.040234775525586394,1.1170180553382538,9
condition_blind,assistant,Rational,cer,2.068324291252791,2.364597147419344,-1.8444216406062186,9
condition_blind,assistant,Rational,com,0.11745978458062706,0.5124630754756772,-3.052650731610694,9
condition_blind,assistant,Rational,ref,0.2549138869047449,0.062392955389365096,1.0988289755075902,9
condition_blind,assistant,Rational,prop,0.8847030482908611,1.8666701694208956,-3.2562623786311047,9
condition_blind,assistant,BoundedRational,exp,1.2765876294427259,0.4635448348993489,2.844007594027316,9
condition_blind,assistant,BoundedRational,con,1.262727709262322,1.3702733804574974,-0.5572820714321698,9
condition_blind,assistant,BoundedRational,cri,0.07401062299424145,0.08353387579325852,-0.12379203189549108,9
condition_blind,assistant,BoundedRational,cer,1.921293798646824,2.186231675751803,-3.1824713493137247,9
condition_blind,assistant,BoundedRational,com,0.1846028893410202,0.5628829858741841,-3.686997495062639,9
condition_blind,assistant,BoundedRational,ref,0.3424325146791488,0.14119563905970678,1.2601021958790593,9
condition_blind,assistant,BoundedRational,prop,1.1747538751064621,1.5319347763799103,-3.22496090590269,9
condition_blind,user,pooled,exp,0.3612058478092446,0.30246382805602934,0.33387418734893626,97
condition_blind,user,pooled,con,0.5534056605071961,0.4871078596337171,0.38679873377893875,97
condition_blind,user,pooled,cri,0.09354263718960154,0.09652096226199319,-0.026016489951613098,97
condition_blind,user,pooled,cer,1.8099695927709545,1.7251765259118512,0.5465486357135884,97
condition_blind,user,pooled,com,0.20509064250462478,0.17481161931230502,0.28833196143017087,97
condition_blind,user,pooled,ref,0.08509258219258677,0.060454025460845,0.2872430815363734,97
condition_blind,user,pooled,prop,0.7495754509607091,0.636094905235334,0.4386574651496467,97
condition_blind,user,Divergent,exp,0.36795689408987586,0.2962604943410857,0.40363580703759305,38
condition_blind,user,Divergent,con,0.5734192783659392,0.4971265466938236,0.3879373541739656,38
condition_blind,user,Divergent,cri,0.08897056220307935,0.0884944228363452,0.0038437516055348873,38
condition_blind,user,Divergent,cer,1.7929309639030546,1.7091453026263133,0.5372034344024332,38
condition_blind,user,Divergent,com,0.1979783803451797,0.1731126675706529,0.2774588952241425,38
condition_blind,user,Divergent,ref,0.10383563982127375,0.05983252528986715,0.6214055318625764,38
condition_blind,user,Divergent,prop,0.7752629888568875,0.6377844260917129,0.5710870396090191,38
condition_blind,user,Convergent,exp,0.34799787412027516,0.30153584095056785,0.3006436485797455,41
condition_blind,user,Convergent,con,0.5343026268600775,0.49537150805735397,0.2577979365487895,41
condition_blind,user,Convergent,cri,0.08483097368751108,0.0988928965917873,-0.13820660962013692,41
condition_blind,user,Convergent,cer,1.8199382999346705,1.7621753352571605,0.39348525677479584,41
condition_blind,user,Convergent,com,0.22418862852059307,0.17617299559407867,0.40350124820811295,41
condition_blind,user,Convergent,ref,0.07153171065020272,0.05825267817139887,0.13965518603626137,41
condition_blind,user,Convergent,prop,0.7018812728602043,0.6696650816044062,0.14561380918172243,41
condition_blind,user,Rational,exp,0.2957049744015413,0.3691204994458092,-0.5437508376463126,9
condition_blind,user,Rational,con,0.6209713673222033,0.41186382449749803,1.407365042537648,9
condition_blind,user,Rational,cri,0.19084825069110417,0.1068739837276513,0.6710216804607811,9
condition_blind,user,Rational,cer,1.8426818488084744,1.656164022691147,1.3160762993085664,9
condition_blind,user,Rational,com,0.1658529443163609,0.18058871492767195,-0.1284328661114155,9
condition_blind,user,Rational,ref,0.07439548903526659,0.05835823204739943,0.15384103838407412,9
condition_blind,user,Rational,prop,0.6661493377960618,0.5586758271571737,0.3091176414010755,9
condition_blind,user,BoundedRational,exp,0.45837196150403375,0.26622650694311434,0.8896039171130334,9
condition_blind,user,BoundedRational,con,0.4883629426810355,0.4824052621418089,0.07561195362471304,9
condition_blind,user,BoundedRational,cri,0.055227807362938086,0.10925229531334217,-0.6576136986427187,9
condition_blind,user,BoundedRational,cer,1.8037852148743059,1.6933262848761983,0.614038990759061,9
condition_blind,user,BoundedRational,com,0.1873559557378007,0.17000605021138898,0.20730057525880363,9
condition_blind,user,BoundedRational,ref,0.07842962461075619,0.07520229058145168,0.04171730240371214,9
condition_blind,user,BoundedRational,prop,0.9418165487993462,0.5534496473496756,1.7758596322737166,9
