model,criterion,n_p,n_c,mean_p,mean_c,diff,t,p,cohen_d,hedges_g,q_fdr,family,n_fam,n_gpt,mean_fam,mean_gpt
I7_family_vs_gpt,exploration_opening,,,,,,4.517824493071419,8.458902655560664e-05,,1.374212644455986,,Rational,20.0,31.0,3.175,2.306451612903226
I7_family_vs_gpt,exploration_opening,,,,,,3.73369776500898,0.0007196911793887295,,1.1150044216120634,,BoundedRational,21.0,31.0,3.0238095238095237,2.306451612903226
I7_family_vs_gpt,reframing_quality,,,,,,9.475744038923839,1.633248863881731e-11,,2.4744227123215152,,Divergent,42.0,31.0,2.9523809523809526,1.3709677419354838
I7_family_vs_gpt,reframing_quality,,,,,,5.862909103316544,2.428571588580948e-07,,1.4450093736481595,,Convergent,36.0,31.0,2.513888888888889,1.3709677419354838
I7_family_vs_gpt,reframing_quality,,,,,,5.263197729980393,4.430836622126414e-06,,1.4685566210015146,,Rational,20.0,31.0,2.65,1.3709677419354838
I7_family_vs_gpt,reframing_quality,,,,,,3.501646858705258,0.001116075756430599,,0.9836248835440832,,BoundedRational,21.0,31.0,2.261904761904762,1.3709677419354838
I7_family_vs_gpt,evaluative_discipline,,,,,,3.9222354292587585,0.00024022157657714732,,0.9484006540412673,,Divergent,42.0,31.0,1.7380952380952381,0.9516129032258065
I7_family_vs_gpt,evaluative_discipline,,,,,,3.6131845637164717,0.0005901564422434651,,0.8661223470309702,,Convergent,36.0,31.0,1.8194444444444444,0.9516129032258065
I7_family_vs_gpt,evaluative_discipline,,,,,,5.18982450387381,4.865636129352242e-06,,1.4168819493993137,,Rational,20.0,31.0,2.2,0.9516129032258065
I7_family_vs_gpt,evaluative_discipline,,,,,,1.1388254677996335,0.2614469403425373,,0.3221922842947078,,BoundedRational,21.0,31.0,1.2619047619047619,0.9516129032258065
I7_family_vs_gpt,agency_preservation,,,,,,2.4226938403450773,0.01900700344791739,,0.5979100104955162,,Divergent,42.0,31.0,3.3214285714285716,2.9838709677419355
I7_family_vs_gpt,agency_preservation,,,,,,3.186121013466669,0.0023886250827516147,,0.7891494685264598,,Convergent,36.0,31.0,3.4444444444444446,2.9838709677419355
I7_family_vs_gpt,agency_preservation,,,,,,3.3112996367302414,0.001774536284553484,,0.8795842952028073,,Rational,20.0,31.0,3.525,2.9838709677419355
I7_family_vs_gpt,agency_preservation,,,,,,2.7961912641922173,0.007331908239965321,,0.73234146108912,,BoundedRational,21.0,31.0,3.4285714285714284,2.9838709677419355
I7_family_vs_gpt,anchor_management,,,,,,7.037842556966492,1.3780847769762749e-08,,1.8047784130751647,,Divergent,42.0,31.0,2.8333333333333335,1.8548387096774193
I7_family_vs_gpt,anchor_management,,,,,,4.905008046226248,9.533535445108075e-06,,1.2202006330790758,,Convergent,36.0,31.0,2.5972222222222223,1.8548387096774193
I7_family_vs_gpt,anchor_management,,,,,,5.685916865444461,7.262868544501398e-07,,1.4404098848423748,,Rational,20.0,31.0,2.75,1.8548387096774193
I7_family_vs_gpt,anchor_management,,,,,,2.9903285784011406,0.004496851924211123,,0.8200883256330641,,BoundedRational,21.0,31.0,2.4285714285714284,1.8548387096774193
I7_family_vs_gpt,coregulation_uptake,,,,,,3.2704488514427332,0.0024208335878880554,,0.8668599133224577,,Divergent,42.0,31.0,3.0952380952380953,2.629032258064516
I7_family_vs_gpt,coregulation_uptake,,,,,,3.473412918294805,0.0011344342408419132,,0.8748312654511924,,Convergent,36.0,31.0,3.1666666666666665,2.629032258064516
I7_family_vs_gpt,coregulation_uptake,,,,,,3.1594406660545067,0.0030149314035627576,,0.7489680146637718,,Rational,20.0,31.0,3.1,2.629032258064516
I7_family_vs_gpt,coregulation_uptake,,,,,,2.666706270151244,0.010603895602777238,,0.6529076523073196,,BoundedRational,21.0,31.0,3.0476190476190474,2.629032258064516
I7_family_vs_gpt,timing_fit,,,,,,6.064848216846074,7.88406369954418e-07,,1.6245596883644027,,Divergent,42.0,31.0,3.9761904761904763,3.3225806451612905
I7_family_vs_gpt,timing_fit,,,,,,3.7603479707755163,0.00043105514056556707,,0.9356423837766216,,Convergent,36.0,31.0,3.7916666666666665,3.3225806451612905
I7_family_vs_gpt,timing_fit,,,,,,3.957842171349067,0.00024413408201987965,,1.0150926625162962,,Rational,20.0,31.0,3.85,3.3225806451612905
I7_family_vs_gpt,timing_fit,,,,,,2.3762215051971367,0.02145128847106315,,0.6306065753337469,,BoundedRational,21.0,31.0,3.6666666666666665,3.3225806451612905
