measure,contrast,family_a,family_b,mean_a,mean_b,n_a,n_b,g,welch_t,p,sig_05
u_critique,Divergent vs Convergent,Divergent,Convergent,0.04822559406537734,0.056935814862644124,38,41,-0.04818477694727353,-0.21499122301572882,0.830367431429377,False
u_critique,Divergent vs Rational,Divergent,Rational,0.04822559406537734,0.05260141093474425,38,9,-0.02321904445427346,-0.0722747956086708,0.9433844525175699,False
u_critique,Divergent vs BoundedRational,Divergent,BoundedRational,0.04822559406537734,-0.0165235998569332,38,9,0.3442538426502571,1.082035174296447,0.2968835197068177,False
u_critique,Convergent vs Rational,Convergent,Rational,0.056935814862644124,0.05260141093474425,41,9,0.025809126873024116,0.07448601766093693,0.941813946645147,False
u_critique,Convergent vs BoundedRational,Convergent,BoundedRational,0.056935814862644124,-0.0165235998569332,41,9,0.4384337238318959,1.2784878523403564,0.2242531594569139,False
u_critique,Rational vs BoundedRational,Rational,BoundedRational,0.05260141093474425,-0.0165235998569332,9,9,0.4252602983636373,0.9472189883383787,0.35761822309319213,False
u_clarify,Divergent vs Convergent,Divergent,Convergent,0.0013534968643327764,-0.0032705099778270515,38,41,0.09558646087176663,0.42370278877150164,0.6731311418750067,False
u_clarify,Divergent vs Rational,Divergent,Rational,0.0013534968643327764,0.0,38,9,0.026677219084070277,0.15165869758190345,0.8802800547908944,False
u_clarify,Divergent vs BoundedRational,Divergent,BoundedRational,0.0013534968643327764,0.0,38,9,0.026677219084070277,0.15165869758190345,0.8802800547908944,False
u_clarify,Convergent vs Rational,Convergent,Rational,-0.0032705099778270515,0.0,41,9,-0.0876809730214674,-0.5206935332364494,0.6054508434270313,False
u_clarify,Convergent vs BoundedRational,Convergent,BoundedRational,-0.0032705099778270515,0.0,41,9,-0.0876809730214674,-0.5206935332364494,0.6054508434270313,False
u_clarify,Rational vs BoundedRational,Rational,BoundedRational,0.0,0.0,9,9,,,,False
u_commit,Divergent vs Convergent,Divergent,Convergent,-0.02458940912888281,0.004407922700605633,38,41,-0.18778938626244432,-0.8516035764641248,0.3971969413555477,False
u_commit,Divergent vs Rational,Divergent,Rational,-0.02458940912888281,-0.12901234567901232,38,9,0.8549282745885193,3.2985756277831184,0.0032715000731388328,True
u_commit,Divergent vs BoundedRational,Divergent,BoundedRational,-0.02458940912888281,0.152396985730319,38,9,-1.4429357295554708,-5.38973399714142,2.675619300079638e-05,True
u_commit,Convergent vs Rational,Convergent,Rational,0.004407922700605633,-0.12901234567901232,41,9,0.8192900391236104,3.7051072991502774,0.0008156133204295611,True
u_commit,Convergent vs BoundedRational,Convergent,BoundedRational,0.004407922700605633,0.152396985730319,41,9,-0.9067389105131365,-3.994082021361822,0.0004097144279926025,True
u_commit,Rational vs BoundedRational,Rational,BoundedRational,-0.12901234567901232,0.152396985730319,9,9,-3.623660800866341,-8.071292643789265,5.07794672292549e-07,True
n_ideas,Divergent vs Convergent,Divergent,Convergent,1.0,1.0555555555555556,36,36,-0.025471036425809335,-0.10923906912979296,0.9133353454590656,False
n_ideas,Divergent vs Rational,Divergent,Rational,1.0,1.2857142857142858,36,7,-0.11703794255402486,-0.26231153129350093,0.7998170559940675,False
n_ideas,Divergent vs BoundedRational,Divergent,BoundedRational,1.0,2.5,36,8,-0.6162226542736006,-1.4929077616871245,0.16741854865579284,False
n_ideas,Convergent vs Rational,Convergent,Rational,1.0555555555555556,1.2857142857142858,36,7,-0.10863656077237403,-0.2155374409329023,0.8352604377986326,False
n_ideas,Convergent vs BoundedRational,Convergent,BoundedRational,1.0555555555555556,2.5,36,8,-0.6816317006744945,-1.4716232728549241,0.17589586664091245,False
n_ideas,Rational vs BoundedRational,Rational,BoundedRational,1.2857142857142858,2.5,7,8,-0.43094580368566726,-0.8829927853571657,0.39373570490908316,False
