scorer,contrast,family,criterion,n_a,n_b,mean_a,mean_b,mean_diff,hedges_g,ci_low,ci_high,welch_t,welch_df,p_raw,sig_05
A,Rational vs GPT,Rational,implementation_grounding,19,29,2.0526315789473686,1.793103448275862,0.2595281306715065,0.2747620577604582,-0.3063398824990074,0.8558639980199239,0.9752853875756643,42.347922632483645,0.3349572191899455,False
A,Rational vs GPT,Rational,cognitive_load_clarity,19,29,3.3684210526315788,3.1379310344827585,0.2304900181488203,0.41288084612151293,-0.17148214389562028,0.9972438361386462,1.470661205333408,42.73132646958783,0.14870862467831247,False
A,Rational vs GPT,Rational,stance_integrity,19,29,3.8947368421052633,3.586206896551724,0.3085299455535391,0.6928926841772446,0.09802257083812072,1.2877627975163684,2.617337222907334,45.95800272010902,0.011956736375199428,True
A,Rational vs GPT,Rational,premature_convergence_risk,19,29,0.3157894736842105,0.7241379310344828,-0.40834845735027225,-0.7897462591916492,-1.3894268411214283,-0.19006567726187007,-2.7783878434655107,41.312546869162745,0.008181970715834548,True
A,Rational vs GPT,Rational,runaway_divergence_risk,19,29,0.3157894736842105,0.27586206896551724,0.03992740471869327,0.07721963423207234,-0.5014832718078817,0.6559225402720263,0.27166458913884983,41.312546869162745,0.7872329397946836,False
A,BoundedRational vs GPT,BoundedRational,exploration_opening,21,29,3.0,2.2758620689655173,0.7241379310344827,1.0578080247596378,0.4591527129500016,1.6564633365692738,3.4949184953074357,31.32029424308078,0.001439293665458775,True
A,BoundedRational vs GPT,BoundedRational,reframing_quality,21,29,2.238095238095238,1.3448275862068966,0.8932676518883416,0.9588361839731806,0.36661942052979923,1.551052947416562,3.3719814362140257,41.93027835114055,0.0016138970324444497,True
A,BoundedRational vs GPT,BoundedRational,evaluative_discipline,21,29,1.2857142857142858,1.0,0.2857142857142858,0.2927825772860014,-0.271748539021298,0.8573136935933008,1.0239670829298042,41.00046506166114,0.3118546389147849,False
A,BoundedRational vs GPT,BoundedRational,agency_preservation,21,29,3.380952380952381,2.9655172413793105,0.41543513957307043,0.6692752992323621,0.09255183370834175,1.2459987647563824,2.4934641428145814,47.9870022518904,0.016151178049051706,True
A,BoundedRational vs GPT,BoundedRational,anchor_management,21,29,2.380952380952381,1.8275862068965518,0.5533661740558291,0.7853130391952373,0.2029951856258646,1.36763089276461,2.811958018185496,44.70993213028223,0.007286694110674066,True
A,BoundedRational vs GPT,BoundedRational,coregulation_uptake,21,29,3.0,2.5517241379310347,0.4482758620689653,0.737691505643737,0.1577709471543407,1.3176120641331333,2.9275234627118394,40.41522320671986,0.005587809809165556,True
A,BoundedRational vs GPT,BoundedRational,timing_fit,21,29,3.619047619047619,3.2758620689655173,0.3431855500821017,0.6094591086513689,0.03528879119008421,1.1836294261126534,2.2221220514050213,46.836838191179176,0.031142839653244398,True
A,BoundedRational vs GPT,BoundedRational,implementation_grounding,21,29,1.8095238095238095,1.793103448275862,0.016420361247947435,0.014963959680806554,-0.54665058871046,0.5765785080720731,0.051271467732135347,37.426319037578914,0.9593818780751064,False
A,BoundedRational vs GPT,BoundedRational,cognitive_load_clarity,21,29,3.3333333333333335,3.1379310344827585,0.19540229885057503,0.3546787852525107,-0.21121424171143838,0.9205718122164597,1.2955923645862728,47.0030595965766,0.20144271605218914,False
A,BoundedRational vs GPT,BoundedRational,stance_integrity,21,29,3.7142857142857144,3.586206896551724,0.1280788177339902,0.2595944585559541,-0.30431255997011364,0.8235014770820218,0.932444838157083,45.13678563328513,0.35606783629173905,False
A,BoundedRational vs GPT,BoundedRational,premature_convergence_risk,21,29,0.3333333333333333,0.7241379310344828,-0.39080459770114945,-0.7550048654315625,-1.335780778745998,-0.17422895211712708,-2.715720293334644,45.32029357967658,0.009327109639320208,True
A,BoundedRational vs GPT,BoundedRational,runaway_divergence_risk,21,29,0.23809523809523808,0.27586206896551724,-0.037766830870279156,-0.07560969285495077,-0.6374120748585199,0.48619268914861835,-0.27641715183496657,47.07219600634123,0.7834377615950789,False
C,Divergent vs GPT,Divergent,exploration_opening,50,50,2.82,1.34,1.4799999999999998,1.7553659248700308,1.2940094537373696,2.216722396002692,8.84469170907451,97.90293671396853,3.906052186185137e-14,True
C,Divergent vs GPT,Divergent,reframing_quality,50,50,1.92,0.36,1.56,1.9589208707573176,1.4820852368715054,2.43575650464313,9.870335830748857,90.06939885732952,5.271760902660249e-16,True
