measure,family,n,persona_mean,gpt_mean,mean_diff,sd_diff,dz,t,p,sig_05
u_reframe,BoundedRational,9,0.0101010101010101,0.020892687559354223,-0.010791677458344123,0.05643487271214962,-0.19122356336990246,-0.5736706901097074,0.5819549319662086,False
u_critique,Divergent,38,0.13097326649958227,0.08274767243420493,0.04822559406537734,0.1910387014861154,0.2524388707116623,1.5561377095086464,0.1281886055748157,False
u_critique,Convergent,41,0.13191199044857582,0.07497617558593167,0.056935814862644124,0.16709502150853645,0.34073914559887364,2.181795081826308,0.03505930583975721,True
u_critique,Rational,9,0.10723104056437388,0.05462962962962962,0.05260141093474425,0.15603403582352457,0.3371149804407851,1.0113449413223554,0.341458387438549,False
u_critique,BoundedRational,9,0.05375180375180374,0.07027540360873694,-0.0165235998569332,0.15357050459009836,-0.10759618131774101,-0.32278854395322304,0.7551303051145678,False
u_clarify,Divergent,38,0.01079622132253711,0.009442724458204335,0.0013534968643327764,0.05501507764803032,0.02460228944857692,0.15165869758190345,0.8802800547908944,False
u_clarify,Convergent,41,0.005266075388026607,0.008536585365853657,-0.0032705099778270515,0.0402184401592726,-0.08131866787660624,-0.5206935332364494,0.6054508434270313,False
u_clarify,Rational,9,0.0,0.0,0.0,0.0,,,,False
u_clarify,BoundedRational,9,0.0,0.0,0.0,0.0,,,,False
u_commit,Divergent,38,0.05816303579461474,0.08275244492349755,-0.02458940912888281,0.12818999397057526,-0.19182003499061764,-1.1824581097461624,0.2445672260468708,False
u_commit,Convergent,41,0.08716960546228837,0.08276168276168273,0.004407922700605633,0.1726449124366511,0.025531726584894533,0.1634828173192468,0.8709615229201891,False
u_commit,Rational,9,0.0,0.12901234567901232,-0.12901234567901232,0.07160676748408554,-1.8016781124449592,-5.405034337334878,0.0006421490574662957,True
u_commit,BoundedRational,9,0.16474266474266472,0.012345679012345678,0.152396985730319,0.0762422035711326,1.9988533724387358,5.996560117316207,0.0003246355369618473,True
n_ideas,Divergent,36,4.297297297297297,3.388888888888889,1.0,2.3421601750764798,0.42695628191498325,2.5617376914898995,0.014879451541452905,True
n_ideas,Convergent,36,4.7368421052631575,3.7027027027027026,1.0555555555555556,1.9558621693250333,0.5396881089631316,3.2381286537787903,0.0026350649349091634,True
n_ideas,Rational,7,4.666666666666667,3.7142857142857144,1.2857142857142858,2.690370836538197,0.4778948196482324,1.264390845635287,0.2529842638272164,False
n_ideas,BoundedRational,8,5.444444444444445,3.125,2.5,2.6186146828319083,0.9547032697824668,2.7003086243366083,0.03062534757043955,True
orig_same,Divergent,36,0.22361887306780429,0.250189173552725,-0.027983598411083214,0.035904115189618155,-0.7793980791141959,-4.676388474685176,4.246985808827359e-05,True
orig_same,Convergent,36,0.2400321925156995,0.25731789461664245,-0.017954320129421015,0.03131852909089284,-0.5732810783454698,-3.439686470072819,0.0015224739650233758,True
orig_same,Rational,7,0.21236988902091974,0.2346303611993789,-0.02529459553105493,0.06426507636063275,-0.3935978444826029,-1.0413620130720436,0.33783860871301397,False
orig_same,BoundedRational,8,0.23250167237387764,0.27447368018329144,-0.042096363380551324,0.04173458829227757,-1.0086684714783851,-2.8529452646057436,0.024584557867609973,True
orig_all,Divergent,36,0.23878122543966449,0.2525571096274588,-0.014660515305068764,0.03763010001517997,-0.38959543820385056,-2.3375726292231036,0.025254633793625688,True
orig_all,Convergent,36,0.2483042337392506,0.25556819100637695,-0.008115546984805008,0.031794906900433115,-0.25524676043930977,-1.5314805626358585,0.13464038257675656,False
orig_all,Rational,7,0.23952599200937483,0.247451154249055,-0.01198109132902962,0.06614602500137105,-0.1811309346068986,-0.4792274077105566,0.6487431444667822,False
orig_all,BoundedRational,8,0.21884133749537993,0.24855130352079866,-0.030376041308045394,0.04355014918852096,-0.6974956888563766,-1.9728157257549042,0.08912058433068831,False
orig_cross,Divergent,36,0.09377409799678901,0.10003035598331023,-0.006771612498495315,0.037638674911040206,-0.17991102275784582,-1.079466136547075,0.28776296174859306,False
orig_cross,Convergent,36,0.09155866190006853,0.09747990402015477,-0.006494608190324576,0.033206218055729805,-0.19558409751525188,-1.1735045850915113,0.2485177146207796,False
orig_cross,Rational,7,0.08353563812043928,0.09959941250937322,-0.0162486433982849,0.042987861464972105,-0.3779821290139036,-1.0000467133975206,0.35589683676742956,False
orig_cross,BoundedRational,8,0.06792391008800927,0.0917940959334373,-0.023005045950412736,0.051828956773904034,-0.4438647308833315,-1.2554390445485826,0.24960317657447487,False
