scorer,contrast,family_a,family_b,criterion,n_a,n_b,mean_a,mean_b,mean_diff,hedges_g,ci_low,ci_high,welch_t,welch_df,p_raw,sig_05
A,Divergent vs Rational,Divergent,Rational,runaway_divergence_risk,42,19,0.5952380952380952,0.3157894736842105,0.2794486215538847,0.5260959661049295,-0.023787147507998707,1.0759790797178577,2.0251246463540564,39.35506995334955,0.04967541350648493,True
A,Divergent vs BoundedRational,Divergent,BoundedRational,exploration_opening,42,21,3.8095238095238093,3.0,0.8095238095238093,1.3171588683979707,0.7450614977254133,1.889256239070528,4.138871679903747,26.06561171950476,0.00032388264104360557,True
A,Divergent vs BoundedRational,Divergent,BoundedRational,reframing_quality,42,21,2.9285714285714284,2.238095238095238,0.6904761904761902,1.120495539711931,0.561318365062654,1.679672714361208,3.2483453253863224,22.66005470394717,0.003590622502258341,True
A,Divergent vs BoundedRational,Divergent,BoundedRational,evaluative_discipline,42,21,1.7380952380952381,1.2857142857142858,0.45238095238095233,0.5358791769111245,0.003755706958211258,1.0680026468640378,1.829474410308314,30.983392758889828,0.07696682691320864,False
A,Divergent vs BoundedRational,Divergent,BoundedRational,agency_preservation,42,21,3.3095238095238093,3.380952380952381,-0.07142857142857162,-0.1476347395061473,-0.6721006929478048,0.3768312139355103,-0.5477670932256548,37.971625046259476,0.5870575936054908,False
A,Divergent vs BoundedRational,Divergent,BoundedRational,anchor_management,42,21,2.8095238095238093,2.380952380952381,0.4285714285714284,0.8416475093791073,0.2975910505601015,1.3857039681981131,2.7064105635525872,27.26616316752424,0.011591809133168875,True
A,Divergent vs BoundedRational,Divergent,BoundedRational,coregulation_uptake,42,21,3.0476190476190474,3.0,0.04761904761904745,0.18588883775565657,-0.3389478351144838,0.7107255106257969,0.621633250565986,29.591795079854844,0.5389430469659413,False
A,Divergent vs BoundedRational,Divergent,BoundedRational,timing_fit,42,21,3.9761904761904763,3.619047619047619,0.3571428571428572,1.1314538014867845,0.5716042675121781,1.691303335461391,3.2126470265858957,21.944562073719016,0.0040195626117266806,True
A,Divergent vs BoundedRational,Divergent,BoundedRational,implementation_grounding,42,21,1.9047619047619047,1.8095238095238095,0.09523809523809512,0.09122243908484362,-0.4328517105418975,0.6152965887115848,0.3169339239423978,32.26161472465798,0.7533356517016822,False
A,Divergent vs BoundedRational,Divergent,BoundedRational,cognitive_load_clarity,42,21,3.238095238095238,3.3333333333333335,-0.09523809523809534,-0.20959474075360152,-0.7347036585293406,0.3155141770221376,-0.7640927068421361,36.29245603868997,0.4497514636779607,False
A,Divergent vs BoundedRational,Divergent,BoundedRational,stance_integrity,42,21,3.9761904761904763,3.7142857142857144,0.26190476190476186,0.8807279698526784,0.33478871050354764,1.4266672292018092,2.5235730725761787,22.2504509921828,0.019248948817571106,True
A,Divergent vs BoundedRational,Divergent,BoundedRational,premature_convergence_risk,42,21,0.21428571428571427,0.3333333333333333,-0.11904761904761904,-0.26803517109820596,-0.7939538043114822,0.2578834621150703,-0.965044141187022,35.171814726895164,0.3411116250405052,False
A,Divergent vs BoundedRational,Divergent,BoundedRational,runaway_divergence_risk,42,21,0.5952380952380952,0.23809523809523808,0.35714285714285715,0.6902770598188418,0.15275736758429959,1.2277967520533841,2.8139749351446466,48.758168313925424,0.007036370647061467,True
A,Convergent vs Rational,Convergent,Rational,exploration_opening,36,19,3.111111111111111,3.1052631578947367,0.005847953216374435,0.008686113360890488,-0.5471045124448899,0.564476739166671,0.029468081726120806,31.765549012999013,0.976675642226987,False
A,Convergent vs Rational,Convergent,Rational,reframing_quality,36,19,2.5,2.526315789473684,-0.02631578947368407,-0.03585970485163364,-0.591688359873157,0.5199689501698899,-0.12421078672015581,33.604026702682056,0.901888416819614,False
